Periodo de solicitacao:
1996-06-05 a 2015-06-05


Estacao;Municipio;Latitude;Longitude;Altitude
CONSERVATORIA;VALENCA;-22.280001;-43.919998;550


ID Estacao;Data Medicao;Precipitacao Total
2243004;2014-01-01;66.7
2243004;2014-02-01;48.8
2243004;2014-03-01;118.8
2243004;2014-04-01;114.7
2243004;2014-05-01;28.5
2243004;2014-06-01;21.8
2243004;2014-07-01;24.6
2243004;2014-08-01;11.8
2243004;2014-09-01;32
2243004;2014-10-01;121.1
2243004;2014-11-01;220.4
2243004;2014-12-01;91.1
2243004;2015-01-01;176.4
2243004;2015-02-01;163.5
2243004;2015-03-01;214.8
2243004;2015-04-01;68.7
2243004;2015-05-01;19.6
2243004;2015-06-01;46.7
